14-03-2023 [01:26:41 PM]: Deposit ₹10000
14-03-2023 [01:26:53 PM]: Withdraw ₹6000
14-03-2023 [01:27:16 PM]: Withdraw ₹20000
14-03-2023 [06:59:18 PM]: Withdraw ₹2000
14-03-2023 [07:00:57 PM]: Withdraw ₹2000
14-03-2023 [07:04:41 PM]: Withdraw ₹2000
14-03-2023 [07:05:31 PM]: Withdraw ₹2000
14-03-2023 [07:05:52 PM]: Withdraw ₹2000
14-03-2023 [07:07:51 PM]: Withdraw ₹2000
14-03-2023 [07:09:09 PM]: Withdraw ₹2000
14-03-2023 [07:09:56 PM]: Withdraw ₹2000
14-03-2023 [07:11:19 PM]: Withdraw ₹2000
14-03-2023 [07:12:35 PM]: Withdraw ₹2000
14-03-2023 [07:13:17 PM]: Withdraw ₹2000
14-03-2023 [07:14:28 PM]: Withdraw ₹2000
14-03-2023 [07:15:04 PM]: Deposit ₹10000
14-03-2023 [07:57:06 PM]: Transfer ₹25000
14-03-2023 [07:58:27 PM]: Transfer ₹25000
14-03-2023 [07:59:03 PM]: Transfer ₹95000
14-03-2023 [08:27:28 PM]: Transfer ₹1000
14-03-2023 [08:29:15 PM]: Deposit ₹10000
